sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
450,18,3,6,5,5,115.0,55.0,1506.7106185865166,727.0486961281266,4.0,1507.0,727.0,3.320114798542533,-0.6798852014574668,0.6798852014574668,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,238.8538857343966,245.2141994667633,2.4907358000000386
451,19,4,1,1,1,5.0,65.0,767.0618264237154,740.9808861162771,3.5,767.0,741.0,3.584738465242514,0.08473846524251405,0.08473846524251405,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,226.68843802497503,230.90378334303952,2.5467868999994607
452,19,4,1,1,2,7.5,65.0,782.188160700161,742.114925460147,3.5,782.0,742.0,3.5409617969714637,0.04096179697146374,0.04096179697146374,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,206.54070568286554,210.72754809690468,2.708152600000176
453,19,4,1,1,3,10.0,65.0,797.3811979632168,743.2539656065767,3.5,797.0,743.0,3.4974248315585506,-0.002575168441449449,0.002575168441449449,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,212.39181850675553,216.76867462662096,2.494256900000437
454,19,4,1,1,4,12.5,65.0,812.6413804006685,744.3980397069123,3.5,813.0,744.0,3.450849536885373,-0.04915046311462712,0.04915046311462712,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,203.35830050826704,206.01066180013214,2.562080099999548
455,19,4,1,1,5,15.0,65.0,827.9691541174286,745.5471812061721,3.5,828.0,746.0,3.4319510782230873,-0.06804892177691269,0.06804892177691269,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,185.87249854910308,188.05067228350705,2.7987026999999216
456,19,4,1,2,1,5.0,67.5,767.4484911435592,756.5181898079976,3.5,767.0,757.0,3.655156460649822,0.15515646064982214,0.15515646064982214,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,168.87304489044914,170.2823850269605,2.5946930999998585
457,19,4,1,2,2,7.5,67.5,782.5467311246224,757.6841760871262,3.5,783.0,758.0,3.608026655586113,0.10802665558611313,0.10802665558611313,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,176.15720637336608,177.78563832273633,2.5449796000002607
458,19,4,1,2,3,10.0,67.5,797.7114225286887,758.8552941860927,3.5,798.0,759.0,3.5854868213446487,0.08548682134464869,0.08548682134464869,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,187.53139965319758,189.53150664036747,2.562904200000048
459,19,4,1,2,4,12.5,67.5,812.9430050292499,760.0315780594015,3.5,813.0,760.0,3.5413772360714613,0.041377236071461265,0.041377236071461265,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,151.6772928692046,152.41842679593591,2.466054599999552
460,19,4,1,2,5,15.0,67.5,828.2419221871501,761.2130619617643,3.5,828.0,761.0,3.4774942612158606,-0.022505738784139417,0.022505738784139417,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,138.34542057501574,140.78835228642419,2.43207110000003
461,19,4,1,3,1,5.0,70.0,767.8336821994748,771.9962774326317,3.5,768.0,772.0,3.177334085717378,-0.3226659142826218,0.3226659142826218,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,206.30072139659256,207.38541942887528,2.4581475000004502
462,19,4,1,3,2,7.5,70.0,782.9039319636363,773.1939588449393,3.5,783.0,773.0,3.134309127315718,-0.365690872684282,0.365690872684282,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,149.32409771813286,151.1695145858257,2.661812100000134
463,19,4,1,3,3,10.0,70.0,798.0403830073699,774.3969014867062,3.5,798.0,774.0,3.630050249510285,0.1300502495102851,0.1300502495102851,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,143.54232634640243,145.16211941444854,2.5239907999994102
464,19,4,1,3,4,12.5,70.0,813.2434725088983,775.6051401018968,3.5,813.0,776.0,3.590776910095483,0.09077691009548294,0.09077691009548294,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,164.4528036062049,167.6482690693505,2.519825999999739
465,19,4,1,3,5,15.0,70.0,828.5136415043035,776.8187097410732,3.5,829.0,777.0,3.007621833612211,-0.49237816638778886,0.49237816638778886,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,161.94681788903694,164.99591935209298,2.5132416999995257
466,19,4,1,4,1,5.0,72.5,768.2174080001228,787.4154868744043,3.5,768.0,787.0,3.2657455589141917,-0.23425444108580828,0.23425444108580828,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,236.67707169699293,242.20556232162141,2.549192200000107
467,19,4,1,4,2,7.5,72.5,783.2597710490901,788.644613796824,3.5,783.0,789.0,3.2044328083182556,-0.2955671916817444,0.2955671916817444,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,135.0810147108855,137.5782544625828,2.522660900000119
468,19,4,1,4,3,10.0,72.5,798.3680866437071,789.8791297694344,3.5,798.0,790.0,3.1614808133042582,-0.33851918669574177,0.33851918669574177,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,122.94581275869298,123.26193739577927,2.4245777000005546
469,19,4,1,4,4,12.5,72.5,813.5427894857722,791.1190703121658,3.5,814.0,791.0,3.653177746638598,0.15317774663859796,0.15317774663859796,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,159.48844390344368,161.92641486442452,2.432516200000464
470,19,4,1,4,5,15.0,72.5,828.7843181057295,792.3644712577907,3.5,829.0,792.0,3.6095464003970434,0.10954640039704344,0.10954640039704344,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,201.87793252430265,208.6849694083948,2.418875499999558
471,19,4,1,5,1,5.0,75.0,768.5996768903121,802.776153451818,3.5,769.0,803.0,3.3103044759560323,-0.18969552404396772,0.18969552404396772,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,184.13849776484977,187.0869740541046,2.631484599999567
472,19,4,1,5,2,7.5,75.0,783.6142561532699,804.036478418111,3.5,784.0,804.0,3.267021788420558,-0.2329782115794421,0.2329782115794421,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,154.20736770024376,156.4545491038627,2.415296899999703
473,19,4,1,5,3,10.0,75.0,798.694540626896,805.3023186849642,3.5,799.0,805.0,3.7627272471768376,0.2627272471768376,0.2627272471768376,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,138.2217843499764,139.5297817563746,2.315222499999436
474,19,4,1,5,4,12.5,75.0,813.8409625552312,806.5737105349767,3.5,814.0,807.0,3.7231407316388903,0.22314073163889026,0.22314073163889026,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,206.1073391263447,207.92928075118854,2.4787351999993916
475,19,4,1,5,5,15.0,75.0,829.0539579820246,807.8506905696947,3.5,829.0,808.0,3.6793774159294226,0.17937741592942258,0.17937741592942258,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,191.66565382922136,195.6171959838088,2.428871299999628
476,20,4,2,1,1,25.0,65.0,889.9652234259684,750.1951005550553,3.0,890.0,750.0,3.2347838619262155,0.23478386192621548,0.23478386192621548,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,173.6277765314415,175.06553204725677,2.5880514000000403
477,20,4,2,1,2,27.5,65.0,905.6377852881454,751.370091233307,3.0,906.0,751.0,3.1893636989740193,0.18936369897401928,0.18936369897401928,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,178.7000698273775,181.27977011063928,2.4892604999995456
478,20,4,2,1,3,30.0,65.0,921.3806997942924,752.550356333289,3.0,921.0,753.0,3.1679110686139085,0.16791106861390848,0.16791106861390848,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,200.01138849712555,205.20744918464507,2.511544799999683
479,20,4,2,1,4,32.5,65.0,937.1944417195397,753.7359314494597,3.0,937.0,754.0,3.1065243810707517,0.10652438107075168,0.10652438107075168,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,155.6224220265787,156.92234951891032,2.51299199999994
480,20,4,2,1,5,35.0,65.0,953.0794901206801,754.9268524972791,3.0,953.0,755.0,3.0617469320865585,0.06174693208655846,0.06174693208655846,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,207.64495935339144,211.56661288027965,2.529011200000241
481,20,4,2,2,1,25.0,67.5,890.1199470937074,765.9916936506978,3.0,890.0,766.0,2.7716812690539725,-0.2283187309460275,0.2283187309460275,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,149.04768924208545,149.85241500318347,2.470465000000331
482,20,4,2,2,2,27.5,67.5,905.7623300546924,767.19970226152,3.0,906.0,767.0,2.727164914008608,-0.27283508599139195,0.27283508599139195,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,159.413628144239,160.566635181426,2.4916999999995824
483,20,4,2,2,3,30.0,67.5,921.4747931243539,768.4131229233667,3.0,921.0,768.0,2.669270809492295,-0.330729190507705,0.330729190507705,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,213.53802147416212,218.7478959204905,2.4743374999998196
484,20,4,2,2,4,32.5,67.5,937.2578083133665,769.6319920880344,3.0,937.0,770.0,3.1753190525682027,0.17531905256820268,0.17531905256820268,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,164.29425111296314,168.16542531299473,2.408010799999829
485,20,4,2,2,5,35.0,67.5,953.1118518807875,770.8563465354073,3.0,953.0,771.0,3.1303589281105118,0.13035892811051175,0.13035892811051175,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,147.2334159275842,149.6055257804685,2.61842390000038
486,20,4,2,3,1,25.0,70.0,890.2740705756958,781.7270104708236,3.0,890.0,782.0,2.840727782639756,-0.1592722173602441,0.1592722173602441,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,194.87787621210492,196.61125578471638,2.454797899999903
487,20,4,2,3,2,27.5,70.0,905.8863906242082,782.9677719590352,3.0,906.0,783.0,2.7961000598576407,-0.20389994014235935,0.20389994014235935,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,127.15498461849475,127.37817535113665,2.6904195999995864
488,20,4,2,3,3,30.0,70.0,921.5685198266518,784.2140814061314,3.0,922.0,784.0,2.751625733907109,-0.24837426609289093,0.24837426609289093,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,173.48730334226417,177.5288301901764,2.487122200000158
489,20,4,2,3,4,32.5,70.0,937.3209274506643,785.4659761063267,3.0,937.0,785.0,3.2397668636668904,0.23976686366689037,0.23976686366689037,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,190.7670856924915,194.0824197092261,2.527824199999486
490,20,4,2,3,5,35.0,70.0,953.1440869793121,786.7234936888492,3.0,953.0,787.0,3.1989751747541977,0.19897517475419768,0.19897517475419768,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,150.39244300852374,151.2270944463409,2.4802319000000352
491,20,4,2,4,1,25.0,72.5,890.4275973574265,797.4014068687608,3.0,890.0,797.0,2.9055022837114723,-0.09449771628852766,0.09449771628852766,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,195.21232994170418,199.88878443002682,2.497013799999877
492,20,4,2,4,2,27.5,72.5,906.009969814859,798.6746585141473,3.0,906.0,799.0,2.8650397347726555,-0.1349602652273445,0.1349602652273445,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,185.4408793393897,190.40281016048914,2.667708500000117
493,20,4,2,4,3,30.0,72.5,921.6618820398268,799.9535923253064,3.0,922.0,800.0,2.820396491789262,-0.17960350821073812,0.17960350821073812,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,180.257224906437,185.26156416745954,2.4793108000003485
494,20,4,2,4,4,32.5,72.5,937.3838005781439,801.2382464241756,3.0,937.0,801.0,2.7790619866509116,-0.22093801334908836,0.22093801334908836,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,181.3163240548795,184.15159567161527,2.481059499999901
495,20,4,2,4,5,35.0,72.5,953.1761961584185,802.5286592744724,3.0,953.0,803.0,2.7390722529296117,-0.26092774707038835,0.26092774707038835,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,174.0272991760698,174.9836055889786,2.71538849999979
496,20,4,2,5,1,25.0,75.0,890.5805308974582,813.015235947738,3.0,891.0,813.0,1.8801305033609494,-1.1198694966390506,1.1198694966390506,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,225.80629080615978,231.64291321536516,2.405024599999706
497,20,4,2,5,2,27.5,75.0,906.1330704229839,814.3207173408555,3.0,906.0,814.0,2.929616997934026,-0.07038300206597414,0.07038300206597414,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,191.4884868238338,196.68753524892836,2.5190247000000454
498,20,4,2,5,3,30.0,75.0,921.7548818859179,815.6320134258566,3.0,922.0,816.0,2.889171561145732,-0.11082843885426819,0.11082843885426819,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,195.98012244714,200.62882377268718,2.4674691000000166
499,20,4,2,5,4,32.5,75.0,937.4464291312603,816.9491631379277,3.0,937.0,817.0,2.8476792015956964,-0.15232079840430357,0.15232079840430357,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,189.58872163863407,193.6791726838821,2.555156100000204
500,20,4,2,5,5,35.0,75.0,953.2081801544829,818.2722057606451,3.0,953.0,818.0,2.80329007602448,-0.1967099239755199,0.1967099239755199,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,198.28200628997155,201.14664981456647,2.479819199999838
501,21,4,3,1,1,45.0,65.0,1017.3424822056772,759.7447257537668,2.5,1017.0,760.0,2.3646588198794234,-0.1353411801205766,0.1353411801205766,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,179.97002603036387,180.72763770775776,2.499951699999656
502,21,4,3,1,2,47.5,65.0,1033.5914021197036,760.9629266834257,2.5,1034.0,761.0,2.3188494172722143,-0.18115058272778573,0.18115058272778573,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,161.66866387816333,162.42836646133287,2.497129500000483
503,21,4,3,1,3,50.0,65.0,1049.9145955209008,762.1866959851118,2.5,1050.0,762.0,2.2762175667883073,-0.22378243321169267,0.22378243321169267,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,259.3604898382116,266.2814543512575,2.6080095999996047
504,21,4,3,1,4,52.5,65.0,1066.3125728297603,763.4160719256585,2.5,1066.0,763.0,2.233701782829497,-0.26629821717050284,0.26629821717050284,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,239.36969637088674,244.16673411043442,2.606808800000181
505,21,4,3,1,5,55.0,65.0,1082.7858491544457,764.6510931233405,2.5,1083.0,765.0,2.1927260368887813,-0.3072739631112187,0.3072739631112187,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,186.11752520667181,188.5386255402636,2.5361603000001196
506,21,4,3,2,1,45.0,67.5,1017.247986510126,775.8093644413323,2.5,1017.0,776.0,2.4324901201652174,-0.06750987983478263,0.06750987983478263,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,147.04648568592376,148.52865087576313,2.597856800000045
