sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
298,12,2,6,5,3,110.0,35.0,1525.6020270436102,546.4923590340885,7.0,1526.0,546.0,7.322536014685518,0.32253601468551807,0.32253601468551807,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,145.2291554592274,146.76432401357482,2.6514047000091523
299,12,2,6,5,4,112.5,35.0,1545.6176223561872,546.6445402043731,7.0,1546.0,547.0,7.312557094144898,0.3125570941448981,0.3125570941448981,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,264.2356862981483,268.01155137103683,2.6803554000071017
300,12,2,6,5,5,115.0,35.0,1565.7294759289227,546.7974532387096,7.0,1566.0,547.0,7.299495727072543,0.2994957270725429,0.2994957270725429,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,346.93664568038207,357.91414536944114,2.4607123999885516
301,13,3,1,1,1,5.0,45.0,767.0823537205871,609.1561499670188,6.5,767.0,609.0,6.00704676193757,-0.4929532380624302,0.4929532380624302,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,205.28171927840623,208.5090475205047,2.5339316000026884
302,13,3,1,1,2,7.5,45.0,783.527229329551,609.4295375353935,6.5,784.0,609.0,5.976651083691175,-0.5233489163088247,0.5233489163088247,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,240.53091670545953,244.83263148147088,2.6911319000064395
303,13,3,1,1,3,10.0,45.0,800.0435633096813,609.7041130623028,6.5,800.0,610.0,5.948605986782049,-0.5513940132179513,0.5513940132179513,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,255.76351048958998,261.4260714828055,2.431673099999898
304,13,3,1,1,4,12.5,45.0,816.6318224401767,609.9798843077104,6.5,817.0,610.0,6.568031127452183,0.06803112745218343,0.06803112745218343,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,229.08802764075142,231.57767875523416,2.5223136999993585
305,13,3,1,1,5,15.0,45.0,833.2924775745563,610.2568590993126,6.5,833.0,610.0,7.134879158706259,0.6348791587062594,0.6348791587062594,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,205.65524046004765,207.23781396445852,2.368451800008188
306,13,3,1,2,1,5.0,47.5,767.959308488043,626.160046923871,6.5,768.0,626.0,6.019385531784757,-0.4806144682152427,0.4806144682152427,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,163.26272261231034,165.25397642849072,2.5428427000006195
307,13,3,1,2,2,7.5,47.5,784.3847932603124,626.4698964989974,6.5,784.0,626.0,6.013966116985661,-0.4860338830143389,0.4860338830143389,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,224.7412267947323,229.20786341807445,2.642283299996052
308,13,3,1,2,3,10.0,47.5,800.8815595426312,626.7810907251893,6.5,801.0,627.0,5.984854526867581,-0.515145473132419,0.515145473132419,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,222.64544810542353,227.81235862809402,2.6984320000046864
309,13,3,1,2,4,12.5,47.5,817.4500723534892,627.0936383745341,6.5,817.0,627.0,6.5796761893121305,0.0796761893121305,0.0796761893121305,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,235.7266352275061,241.0817826129068,2.4922784000082174
310,13,3,1,2,5,15.0,47.5,834.0908007650396,627.4075482955865,6.5,834.0,627.0,6.595271482436371,0.09527148243637118,0.09527148243637118,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,298.03613828225104,307.43703793822687,2.4591512999904808
311,13,3,1,3,1,5.0,50.0,768.8340004689816,643.1200691106623,6.5,769.0,643.0,6.031899586081708,-0.46810041391829227,0.46810041391829227,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,206.43559975094263,210.53763240520797,2.6449673999886727
312,13,3,1,3,2,7.5,50.0,785.2401396535525,643.4661915345115,6.5,785.0,643.0,6.603824515431983,0.10382451543198279,0.10382451543198279,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,212.83569378222106,214.5719353064599,2.5000013999961084
313,13,3,1,3,3,10.0,50.0,801.7173841414967,643.8138140760715,6.5,802.0,644.0,5.997190351688415,-0.5028096483115849,0.5028096483115849,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,227.9514834691608,232.75751942842174,2.4887667000002693
314,13,3,1,3,4,12.5,50.0,818.2661971994314,644.1629465089371,6.5,818.0,644.0,5.99225474966761,-0.5077452503323903,0.5077452503323903,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,275.30240063843905,280.92797149043986,2.760053499994683
315,13,3,1,3,5,15.0,50.0,834.8870461271114,644.5135986917915,6.5,835.0,645.0,6.56203140979956,0.06203140979955979,0.06203140979955979,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,338.8152327744418,350.41506580771994,2.7948046999954386
316,13,3,1,4,1,5.0,52.5,769.7064384100437,660.0363861222042,6.5,770.0,660.0,6.647060610137138,0.1470606101371379,0.1470606101371379,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,255.1951530446451,260.3329783448853,2.5927867999998853
317,13,3,1,4,2,7.5,52.5,786.0932770995165,660.4185933357533,6.5,786.0,660.0,6.615215126458393,0.11521512645839316,0.11521512645839316,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,210.86079943924355,212.31001196498477,2.5152323999936925
318,13,3,1,4,3,10.0,52.5,802.5510455369096,660.8024549172878,6.5,803.0,661.0,5.9852637251800145,-0.5147362748199855,0.5147362748199855,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,253.53677014446765,259.24107807489963,2.655186500007403
319,13,3,1,4,4,12.5,52.5,819.0802052457492,661.1879816313991,6.5,819.0,661.0,6.602297948255269,0.10229794825526906,0.10229794825526906,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,289.6847122273117,297.01672787731917,2.6181122999987565
320,13,3,1,4,5,15.0,52.5,835.681221762302,661.5751843362716,6.5,836.0,662.0,6.022963342205105,-0.477036657794895,0.477036657794895,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,314.66570545781855,323.5248464133216,2.4858403999969596
321,13,3,1,5,1,5.0,55.0,770.5766310128487,676.9091666803581,6.5,771.0,677.0,6.658503539281651,0.15850353928165095,0.15850353928165095,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,264.6865927105858,271.579567381461,2.712607699999353
322,13,3,1,5,2,7.5,55.0,786.9442141441378,677.327271716037,6.5,787.0,677.0,6.626618933012848,0.126618933012848,0.126618933012848,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,229.4195449082309,236.92543468315728,2.6874392000027
323,13,3,1,5,3,10.0,55.0,803.3825521159196,677.747184163041,6.5,803.0,678.0,6.022207031901328,-0.47779296809867233,0.47779296809867233,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,247.86449391703127,255.22823361004208,2.6531754000025103
324,13,3,1,5,4,12.5,55.0,819.8921047173553,678.1689157665464,6.5,820.0,678.0,5.96944714915556,-0.5305528508444404,0.5305528508444404,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,339.2522791564779,352.8072747516024,2.491444599989336
325,13,3,1,5,5,15.0,55.0,836.4733357300788,678.5924783737174,6.5,836.0,679.0,6.012750784810217,-0.4872492151897827,0.4872492151897827,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,327.5501810023394,336.8880514377467,2.4809614999976475
326,14,3,2,1,1,25.0,45.0,900.6686203338936,611.3769526940248,6.0,901.0,611.0,5.942885659833852,-0.057114340166148025,0.057114340166148025,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,127.9160538764227,128.07737999833688,2.47707989999617
327,14,3,2,1,2,27.5,45.0,917.6984640433707,611.6600650551177,6.0,918.0,612.0,5.938547144453072,-0.06145285554692759,0.06145285554692759,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,169.09423779835777,170.42670078329346,2.4276003999984823
328,14,3,2,1,3,30.0,45.0,934.8036169749746,611.9444293931549,6.0,935.0,612.0,5.952152184221954,-0.04784781577804598,0.04784781577804598,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,172.07743790439827,172.91680639925613,2.630124399991473
329,14,3,2,1,4,32.5,45.0,951.9845797833509,612.2300540312615,6.0,952.0,612.0,5.946477816988747,-0.05352218301125333,0.05352218301125333,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,166.14170650401442,166.92263698561945,3.824298899999121
330,14,3,2,1,5,35.0,45.0,969.2418575707939,612.5169473665022,6.0,969.0,613.0,5.94152183819843,-0.058478161801570394,0.058478161801570394,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,143.7369373861444,144.09734697878528,2.5674962000048254
331,14,3,2,2,1,25.0,47.5,901.3853962347831,628.6769903914325,6.0,901.0,629.0,6.547104461546942,0.547104461546942,0.547104461546942,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,105.20650281451996,105.77813797138562,2.73221509999712
332,14,3,2,2,2,27.5,47.5,918.3943837418449,628.9978471348079,6.0,918.0,629.0,5.378067643168946,-0.6219323568310537,0.6219323568310537,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,132.66244955315162,135.23007534504183,2.5796680000057677
333,14,3,2,2,3,30.0,47.5,935.4784889296249,629.3201208945926,6.0,935.0,629.0,5.945887689860789,-0.05411231013921114,0.05411231013921114,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,127.66542767267379,128.59822042570207,2.463875800007372
334,14,3,2,2,4,32.5,47.5,952.6382105185961,629.6438210786264,6.0,953.0,630.0,5.959391846799398,-0.04060815320060218,0.04060815320060218,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,97.81716303825378,97.93344975942446,3.12588130000222
335,14,3,2,2,5,35.0,47.5,969.8740516538232,629.9689571782143,6.0,970.0,630.0,5.953721676413051,-0.04627832358694928,0.04627832358694928,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,118.00768433222694,120.98600379352695,2.6253353000065545
336,14,3,2,3,1,25.0,50.0,902.1002901695829,645.9316051271286,6.0,902.0,646.0,6.558248067346655,0.5582480673466552,0.5582480673466552,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,205.6016797353351,210.6429716844724,2.549057600001106
337,14,3,2,3,2,27.5,50.0,919.0884722136474,646.2900069838809,6.0,919.0,646.0,5.982695485573364,-0.01730451442663572,0.01730451442663572,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,147.03273991125602,149.36283120431196,2.3313198999967426
338,14,3,2,3,3,30.0,50.0,936.1515811259382,646.6499895823877,6.0,936.0,647.0,5.977656023110687,-0.022343976889312778,0.022343976889312778,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,128.05601087196794,129.77081610280968,2.5913366000022506
339,14,3,2,3,4,32.5,50.0,953.2901137027011,647.0115634036234,6.0,953.0,647.0,5.971932558967433,-0.028067441032566975,0.028067441032566975,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,114.96252298405561,115.2445580093277,2.575505600005272
340,14,3,2,3,5,35.0,50.0,970.5045711418649,647.3747390214251,6.0,971.0,647.0,5.965891883350176,-0.03410811664982383,0.03410811664982383,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,106.88934642297251,107.52859812941044,2.606129299994791
341,14,3,2,4,1,25.0,52.5,902.8133095405075,663.1409755602937,6.0,903.0,663.0,6.569478491393428,0.5694784913934283,0.5694784913934283,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,266.19058454705294,273.4111052593043,2.5347618000087095
342,14,3,2,4,2,27.5,52.5,919.7807366772506,663.5367244396183,6.0,920.0,664.0,6.015363138847529,0.015363138847528823,0.015363138847528823,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,200.54284816419005,203.42043127534305,2.639355599996634
343,14,3,2,4,3,30.0,52.5,936.822900594956,663.9342164823036,6.0,937.0,664.0,5.989965772572,-0.010034227428000086,0.010034227428000086,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,156.82718950301881,159.3736911812943,2.4931455999903847
344,14,3,2,4,4,32.5,52.5,953.9402961755235,664.3334632309927,6.0,954.0,664.0,5.984246372065603,-0.015753627934397052,0.015753627934397052,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,119.08181701337219,119.93153495102882,2.4775051000033272
345,14,3,2,4,5,35.0,52.5,971.133422679775,664.7344763304633,6.0,971.0,665.0,5.979214214437328,-0.020785785562671855,0.020785785562671855,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,120.20112884915063,120.71033554480758,2.4810343999997713
